ref_x,ref_y,ref_theta,ref_curve
456605.2631,4425358.9267,-1.5644,0.0000
456605.2644,4425358.7259,-1.5644,0.0000
456605.2657,4425358.5252,-1.5644,0.0000
456605.2670,4425358.3244,-1.5644,0.0000
456605.2683,4425358.1237,-1.5644,0.0000
456605.2696,4425357.9229,-1.5644,0.0000
456605.2709,4425357.7221,-1.5644,0.0000
456605.2722,4425357.5214,-1.5644,0.0000
456605.2734,4425357.3206,-1.5644,0.0000
456605.2747,4425357.1199,-1.5644,0.0000
456605.2760,4425356.9191,-1.5643,0.0000
456605.2773,4425356.7183,-1.5643,0.0000
456605.2786,4425356.5176,-1.5643,0.0000
456605.2799,4425356.3168,-1.5643,0.0000
456605.2812,4425356.1161,-1.5643,0.0000
456605.3046,4425355.7543,-1.5403,0.0166
456605.3052,4425355.6539,-1.5403,0.0166
456605.3397,4425355.3700,-1.5085,0.0362
456605.3543,4425355.1506,-1.5002,0.0395
456605.3704,4425354.9353,-1.4913,0.0431
456605.3883,4425354.7239,-1.4818,0.0471
456605.4078,4425354.5165,-1.4715,0.0515
456605.4292,4425354.3132,-1.4605,0.0563
456605.4525,4425354.1138,-1.4487,0.0616
456605.4777,4425353.9184,-1.4360,0.0675
456605.5049,4425353.7271,-1.4223,0.0738
456605.5343,4425353.5399,-1.4077,0.0807
456605.5659,4425353.3567,-1.3920,0.0882
456605.5998,4425353.1775,-1.3752,0.0963
456605.6361,4425353.0024,-1.3572,0.1050
456605.6749,4425352.8315,-1.3380,0.1143
456605.7163,4425352.6645,-1.3175,0.1243
456605.7603,4425352.5017,-1.2957,0.1350
456605.8071,4425352.3430,-1.2724,0.1463
456605.8567,4425352.1884,-1.2477,0.1580
456605.9092,4425352.0379,-1.2215,0.1702
456605.9648,4425351.8915,-1.1939,0.1828
456606.0235,4425351.7492,-1.1648,0.1956
456606.0854,4425351.6110,-1.1342,0.2084
456606.1506,4425351.4769,-1.1022,0.2212
456606.2192,4425351.3469,-1.0688,0.2336
456606.2911,4425351.2210,-1.0340,0.2454
456606.3666,4425351.0992,-0.9981,0.2564
456606.4456,4425350.9815,-0.9610,0.2662
456606.5283,4425350.8677,-0.9229,0.2748
456606.6147,4425350.7581,-0.8841,0.2817
456606.7049,4425350.6524,-0.8446,0.2868
456606.7989,4425350.5508,-0.8046,0.2900
456606.8967,4425350.4531,-0.7644,0.2911
456606.9985,4425350.3594,-0.7242,0.2901
456607.1042,4425350.2696,-0.6841,0.2871
456607.2139,4425350.1836,-0.6444,0.2822
456607.3277,4425350.1016,-0.6053,0.2754
456607.4455,4425350.0234,-0.5669,0.2671
456607.5675,4425349.9490,-0.5294,0.2575
456607.6935,4425349.8783,-0.4930,0.2471
456607.8236,4425349.8113,-0.4576,0.2360
456607.9579,4425349.7480,-0.4234,0.2244
456608.0964,4425349.6884,-0.3905,0.2126
456608.2390,4425349.6324,-0.3588,0.2008
456608.3858,4425349.5799,-0.3284,0.1890
456608.5367,4425349.5309,-0.2993,0.1775
456608.6919,4425349.4854,-0.2715,0.1664
456608.8512,4425349.4433,-0.2450,0.1558
456609.0147,4425349.4047,-0.2197,0.1456
456609.1824,4425349.3693,-0.1956,0.1360
456609.5239,4425349.2526,-0.2073,0.1052
456609.6120,4425349.2382,-0.1963,0.1010
456609.8973,4425349.1194,-0.2247,0.0814
456610.1017,4425349.0745,-0.2079,0.0791
456610.3068,4425349.0330,-0.1916,0.0766
456610.5125,4425348.9947,-0.1759,0.0740
456610.7189,4425348.9597,-0.1607,0.0713
456610.9258,4425348.9277,-0.1460,0.0686
456611.1332,4425348.8987,-0.1319,0.0658
456611.3411,4425348.8726,-0.1184,0.0630
456611.5492,4425348.8492,-0.1055,0.0603
456611.7577,4425348.8284,-0.0932,0.0575
456611.9663,4425348.8101,-0.0814,0.0549
456612.1751,4425348.7943,-0.0702,0.0523
456612.3839,4425348.7807,-0.0595,0.0498
456612.5926,4425348.7694,-0.0494,0.0475
456612.8012,4425348.7601,-0.0397,0.0453
456613.0096,4425348.7528,-0.0305,0.0431
456613.2177,4425348.7473,-0.0217,0.0412
456613.4254,4425348.7437,-0.0134,0.0395
456613.6325,4425348.7418,-0.0053,0.0382
456613.8391,4425348.7415,0.0025,0.0371
456614.0450,4425348.7428,0.0100,0.0362
456614.2501,4425348.7456,0.0174,0.0357
456614.4542,4425348.7499,0.0246,0.0354
456614.6574,4425348.7556,0.0318,0.0354
456614.8595,4425348.7627,0.0390,0.0356
456615.0604,4425348.7713,0.0462,0.0361
456615.2600,4425348.7813,0.0535,0.0369
456615.4582,4425348.7926,0.0609,0.0379
456615.6548,4425348.8053,0.0685,0.0393
456615.8499,4425348.8195,0.0763,0.0409
456616.0432,4425348.8350,0.0844,0.0429
456616.2348,4425348.8521,0.0929,0.0452
456616.4244,4425348.8706,0.1018,0.0478
456616.6120,4425348.8906,0.1110,0.0508
456616.7974,4425348.9122,0.1208,0.0542
456616.9807,4425348.9354,0.1312,0.0580
456617.1617,4425348.9603,0.1422,0.0622
456617.3402,4425348.9869,0.1538,0.0669
456617.5162,4425349.0152,0.1662,0.0719
456617.6896,4425349.0455,0.1793,0.0773
456617.8604,4425349.0777,0.1932,0.0833
456618.0284,4425349.1118,0.2080,0.0897
456618.1935,4425349.1480,0.2238,0.0966
456618.3557,4425349.1863,0.2405,0.1040
456618.5148,4425349.2268,0.2582,0.1120
456618.6709,4425349.2696,0.2770,0.1205
456618.8237,4425349.3147,0.2969,0.1295
456618.9734,4425349.3622,0.3180,0.1390
456619.1197,4425349.4121,0.3402,0.1490
456619.1878,4425349.4691,0.4064,0.2019
456619.2575,4425349.4966,0.4187,0.2073
456619.2340,4425349.5345,0.4827,0.2518
456619.3520,4425349.5989,0.5170,0.2586
456619.4667,4425349.6668,0.5519,0.2646
456619.5782,4425349.7382,0.5873,0.2697
456619.6865,4425349.8131,0.6231,0.2739
456619.7916,4425349.8915,0.6592,0.2770
456619.8935,4425349.9735,0.6956,0.2789
456619.9922,4425350.0589,0.7321,0.2795
456620.0876,4425350.1480,0.7685,0.2789
456620.1799,4425350.2405,0.8049,0.2771
456620.2690,4425350.3366,0.8410,0.2739
456620.3550,4425350.4362,0.8768,0.2696
456620.4378,4425350.5393,0.9121,0.2640
456620.5174,4425350.6460,0.9468,0.2574
456620.5940,4425350.7563,0.9809,0.2499
456620.6674,4425350.8701,1.0142,0.2417
456620.7378,4425350.9874,1.0466,0.2326
456620.8052,4425351.1083,1.0782,0.2230
456620.8695,4425351.2328,1.1087,0.2128
456620.9309,4425351.3608,1.1382,0.2023
456620.9894,4425351.4923,1.1665,0.1916
456621.0450,4425351.6274,1.1937,0.1809
456621.0978,4425351.7660,1.2198,0.1702
456621.1479,4425351.9082,1.2446,0.1596
456621.1952,4425352.0539,1.2683,0.1493
456621.2399,4425352.2031,1.2907,0.1393
456621.2821,4425352.3558,1.3120,0.1297
456621.3217,4425352.5120,1.3322,0.1204
456621.3589,4425352.6717,1.3512,0.1116
456621.3938,4425352.8349,1.3691,0.1031
456621.4264,4425353.0016,1.3859,0.0952
456621.4568,4425353.1717,1.4017,0.0877
456621.4851,4425353.3453,1.4165,0.0806
456621.5114,4425353.5224,1.4303,0.0739
456621.5357,4425353.7029,1.4432,0.0677
456621.5582,4425353.8868,1.4552,0.0618
456621.5788,4425354.0741,1.4663,0.0564
456621.5978,4425354.2648,1.4767,0.0513
456621.6152,4425354.4588,1.4862,0.0466
456621.6310,4425354.6563,1.4950,0.0423
456621.6455,4425354.8571,1.5031,0.0383
456621.6585,4425355.0612,1.5105,0.0346
456621.6703,4425355.2687,1.5174,0.0311
456621.6809,4425355.4795,1.5236,0.0280
456621.6904,4425355.6936,1.5293,0.0251
456621.6989,4425355.9110,1.5345,0.0225
456621.7064,4425356.1317,1.5391,0.0200
456621.7130,4425356.3556,1.5434,0.0178
456621.7188,4425356.5828,1.5472,0.0158
456621.7322,4425356.7659,1.5411,0.0131
456621.7344,4425356.8827,1.5427,0.0123
456621.7486,4425356.9261,1.5341,0.0120
456621.7559,4425357.1338,1.5366,0.0118
456621.7628,4425357.3417,1.5390,0.0116
456621.7692,4425357.5496,1.5414,0.0114
456621.7750,4425357.7577,1.5438,0.0112
456621.7804,4425357.9658,1.5461,0.0109
456621.7853,4425358.1741,1.5483,0.0107
456621.7898,4425358.3824,1.5505,0.0104
456621.7938,4425358.5909,1.5526,0.0101
456621.7974,4425358.7994,1.5547,0.0098
456621.8005,4425359.0081,1.5567,0.0095
456621.8033,4425359.2168,1.5587,0.0092
456621.8056,4425359.4257,1.5606,0.0089
456621.8075,4425359.6347,1.5624,0.0086
456621.8091,4425359.8437,1.5642,0.0082
456621.8103,4425360.0529,1.5658,0.0079
456621.8112,4425360.2621,1.5675,0.0076
456621.8117,4425360.4715,1.5690,0.0072
456621.8119,4425360.6809,1.5705,0.0069
456621.8119,4425360.8905,1.5719,0.0065
456621.8115,4425361.1001,1.5732,0.0061
456621.8109,4425361.3099,1.5745,0.0058
456621.8100,4425361.5197,1.5756,0.0054
456621.8088,4425361.7297,1.5767,0.0051
456621.8075,4425361.9397,1.5778,0.0047
456621.8059,4425362.1498,1.5787,0.0043
456621.8042,4425362.3601,1.5796,0.0040
456621.8022,4425362.5704,1.5804,0.0036
456621.8001,4425362.7808,1.5811,0.0033
456621.7979,4425362.9913,1.5817,0.0029
456621.7955,4425363.2019,1.5823,0.0025
456621.7930,4425363.4126,1.5828,0.0022
456621.7905,4425363.6233,1.5832,0.0018
456621.7878,4425363.8342,1.5836,0.0015
456621.7851,4425364.0452,1.5839,0.0012
456621.7823,4425364.2562,1.5841,0.0008
456621.7795,4425364.4674,1.5842,0.0005
456621.7766,4425364.6786,1.5843,0.0002
456621.7738,4425364.8899,1.5843,-0.0001
456621.7709,4425365.1013,1.5842,-0.0004
456621.7681,4425365.3128,1.5841,-0.0007
456621.7653,4425365.5244,1.5839,-0.0010
456621.7625,4425365.7360,1.5837,-0.0013
456621.7598,4425365.9478,1.5834,-0.0016
456621.7572,4425366.1596,1.5830,-0.0018
456621.7546,4425366.3715,1.5826,-0.0021
456621.7522,4425366.5835,1.5822,-0.0023
456621.7498,4425366.7956,1.5816,-0.0025
456621.7476,4425367.0078,1.5811,-0.0027
456621.7462,4425367.1855,1.5804,-0.0025
456621.7452,4425367.2917,1.5801,-0.0026
456621.7451,4425367.3543,1.5799,-0.0021
456621.7433,4425367.5577,1.5795,-0.0021
456621.7416,4425367.7610,1.5790,-0.0021
456621.7400,4425367.9644,1.5786,-0.0020
456621.7384,4425368.1677,1.5782,-0.0020
456621.7369,4425368.3711,1.5778,-0.0020
456621.7356,4425368.5744,1.5774,-0.0019
456621.7343,4425368.7778,1.5770,-0.0019
456621.7330,4425368.9812,1.5767,-0.0018
456621.7319,4425369.1845,1.5763,-0.0018
456621.7308,4425369.3879,1.5759,-0.0017
456621.7298,4425369.5913,1.5756,-0.0017
456621.7288,4425369.7947,1.5753,-0.0016
456621.7280,4425369.9981,1.5749,-0.0016
456621.7271,4425370.2014,1.5746,-0.0015
456621.7264,4425370.4048,1.5743,-0.0015
456621.7257,4425370.6082,1.5740,-0.0014
456621.7251,4425370.8116,1.5737,-0.0014
456621.7245,4425371.0150,1.5735,-0.0013
456621.7240,4425371.2184,1.5732,-0.0012
456621.7235,4425371.4218,1.5730,-0.0012
456621.7231,4425371.6252,1.5727,-0.0011
456621.7228,4425371.8287,1.5725,-0.0011
456621.7224,4425372.0321,1.5723,-0.0010
456621.7221,4425372.2355,1.5721,-0.0009
456621.7219,4425372.4389,1.5719,-0.0009
456621.7217,4425372.6423,1.5717,-0.0008
456621.7215,4425372.8458,1.5716,-0.0008
456621.7214,4425373.0492,1.5714,-0.0007
456621.7213,4425373.2526,1.5713,-0.0006
456621.7212,4425373.4561,1.5712,-0.0006
456621.7211,4425373.6595,1.5711,-0.0005
456621.7211,4425373.8630,1.5710,-0.0005
456621.7210,4425374.0664,1.5709,-0.0004
456621.7210,4425374.2698,1.5708,-0.0003
456621.7210,4425374.4733,1.5707,-0.0003
456621.7211,4425374.6768,1.5707,-0.0002
456621.7211,4425374.8802,1.5706,-0.0002
456621.7211,4425375.0837,1.5706,-0.0001
456621.7212,4425375.2871,1.5706,-0.0001
456621.7212,4425375.4906,1.5706,-0.0000
456621.7212,4425375.6941,1.5706,0.0000
456621.7213,4425375.8975,1.5706,0.0001
456621.7213,4425376.1010,1.5706,0.0001
456621.7214,4425376.3045,1.5706,0.0002
456621.7214,4425376.5080,1.5707,0.0002
456621.7214,4425376.7114,1.5707,0.0002
456621.7214,4425376.9149,1.5708,0.0003
456621.7214,4425377.1184,1.5708,0.0003
456621.7213,4425377.3118,1.5709,0.0003
456621.7213,4425377.4136,1.5710,0.0003
456621.7211,4425377.5027,1.5710,0.0002
456621.7210,4425377.7037,1.5711,0.0002
456621.7210,4425377.9046,1.5711,0.0002
456621.7209,4425378.1056,1.5712,0.0002
456621.7208,4425378.3066,1.5712,0.0002
456621.7207,4425378.5075,1.5713,0.0002
456621.7206,4425378.7085,1.5713,0.0002
456621.7205,4425378.9094,1.5714,0.0002
456621.7204,4425379.1104,1.5714,0.0002
456621.7203,4425379.3114,1.5714,0.0002
456621.7202,4425379.5123,1.5715,0.0002
456621.7200,4425379.7133,1.5715,0.0002
456621.7199,4425379.9142,1.5716,0.0002
456621.7197,4425380.1152,1.5716,0.0002
456621.7195,4425380.3162,1.5716,0.0002
456621.7194,4425380.5171,1.5717,0.0002
456621.7192,4425380.7181,1.5717,0.0002
456621.7190,4425380.9191,1.5717,0.0002
456621.7188,4425381.1200,1.5718,0.0002
456621.7186,4425381.3210,1.5718,0.0001
456621.7184,4425381.5219,1.5718,0.0001
456621.7182,4425381.7229,1.5718,0.0001
456621.7180,4425381.9239,1.5719,0.0001
456621.7178,4425382.1248,1.5719,0.0001
456621.7176,4425382.3258,1.5719,0.0001
456621.7173,4425382.5267,1.5719,0.0001
456621.7171,4425382.7277,1.5720,0.0001
456621.7169,4425382.9287,1.5720,0.0001
456621.7166,4425383.1296,1.5720,0.0001
456621.7164,4425383.3306,1.5720,0.0001
456621.7161,4425383.5316,1.5720,0.0001
456621.7159,4425383.7325,1.5720,0.0001
456621.7156,4425383.9335,1.5721,0.0001
456621.7154,4425384.1344,1.5721,0.0001
456621.7151,4425384.3354,1.5721,0.0000
456621.7149,4425384.5364,1.5721,0.0000
456621.7146,4425384.7373,1.5721,0.0000
456621.7144,4425384.9383,1.5721,0.0000
456621.7141,4425385.1393,1.5721,0.0000
456621.7138,4425385.3402,1.5721,0.0000
456621.7136,4425385.5412,1.5721,0.0000
456621.7133,4425385.7421,1.5721,0.0000
456621.7130,4425385.9431,1.5721,-0.0000
456621.7128,4425386.1441,1.5721,-0.0000
456621.7125,4425386.3450,1.5721,-0.0000
456621.7122,4425386.5460,1.5721,-0.0000
456621.7120,4425386.7470,1.5721,-0.0000
456621.7117,4425386.9479,1.5721,-0.0000
456621.7115,4425387.1489,1.5721,-0.0000
456621.7211,4425387.4366,1.5610,-0.0060
456621.7210,4425387.5371,1.5610,-0.0060
456621.7359,4425387.7419,1.5473,-0.0116
456621.7413,4425387.9595,1.5448,-0.0113
456621.7472,4425388.1762,1.5424,-0.0109
456621.7535,4425388.3920,1.5401,-0.0104
456621.7604,4425388.6069,1.5379,-0.0099
456621.7676,4425388.8209,1.5359,-0.0093
456621.7753,4425389.0339,1.5339,-0.0087
456621.7833,4425389.2460,1.5322,-0.0081
456621.7916,4425389.4571,1.5305,-0.0074
456621.8003,4425389.6673,1.5290,-0.0067
456621.8091,4425389.8766,1.5277,-0.0059
456621.8182,4425390.0849,1.5266,-0.0050
456621.8275,4425390.2923,1.5256,-0.0041
456621.8369,4425390.4986,1.5249,-0.0032
456621.8464,4425390.7041,1.5243,-0.0022
456621.8560,4425390.9085,1.5240,-0.0012
456621.8655,4425391.1120,1.5238,-0.0001
456621.8750,4425391.3145,1.5239,0.0010
456621.8845,4425391.5160,1.5242,0.0021
456621.8938,4425391.7165,1.5248,0.0033
456621.9029,4425391.9160,1.5256,0.0046
456621.9118,4425392.1145,1.5266,0.0058
456621.9204,4425392.3120,1.5279,0.0072
456621.9287,4425392.5085,1.5294,0.0085
456621.9366,4425392.7040,1.5312,0.0099
456621.9441,4425392.8984,1.5333,0.0114
456621.9511,4425393.0918,1.5356,0.0129
456621.9576,4425393.2842,1.5383,0.0144
456621.9636,4425393.4755,1.5412,0.0160
456621.9689,4425393.6658,1.5444,0.0176
456621.9736,4425393.8550,1.5479,0.0193
456621.9776,4425394.0432,1.5517,0.0210
456621.9808,4425394.2303,1.5558,0.0227
456621.9832,4425394.4163,1.5601,0.0245
456621.9847,4425394.6013,1.5648,0.0263
456621.9853,4425394.7851,1.5698,0.0281
456621.9850,4425394.9679,1.5751,0.0300
456621.9837,4425395.1496,1.5808,0.0319
456621.9814,4425395.3302,1.5867,0.0338
456621.9780,4425395.5096,1.5929,0.0357
456621.9735,4425395.6880,1.5995,0.0377
456621.9678,4425395.8653,1.6063,0.0397
456621.9609,4425396.0414,1.6135,0.0416
456621.9528,4425396.2164,1.6210,0.0436
456621.9434,4425396.3903,1.6287,0.0456
456621.9327,4425396.5631,1.6368,0.0477
456621.9206,4425396.7347,1.6452,0.0497
456621.9072,4425396.9052,1.6538,0.0516
456621.8923,4425397.0745,1.6628,0.0536
456621.8466,4425397.3443,1.7046,0.0820
456621.8377,4425397.4278,1.7094,0.0830
456621.7856,4425397.6231,1.7575,0.1167
456621.7511,4425397.7957,1.7788,0.1257
456621.7137,4425397.9637,1.8012,0.1353
456621.6733,4425398.1271,1.8249,0.1457
456621.6300,4425398.2859,1.8498,0.1569
456621.5836,4425398.4402,1.8760,0.1688
456621.5342,4425398.5899,1.9036,0.1813
456621.4817,4425398.7350,1.9326,0.1946
456621.4261,4425398.8755,1.9630,0.2084
456621.3674,4425399.0115,1.9949,0.2226
456621.3054,4425399.1428,2.0283,0.2371
456621.2402,4425399.2696,2.0631,0.2516
456621.1718,4425399.3919,2.0994,0.2659
456621.1001,4425399.5096,2.1370,0.2797
456621.0250,4425399.6228,2.1759,0.2927
456620.9466,4425399.7316,2.2159,0.3048
456620.8647,4425399.8358,2.2571,0.3151
456620.7794,4425399.9356,2.2990,0.3235
456620.6907,4425400.0310,2.3416,0.3295
456620.5984,4425400.1221,2.3845,0.3329
456620.5025,4425400.2088,2.4276,0.3336
456620.4031,4425400.2912,2.4706,0.3314
456620.3001,4425400.3695,2.5132,0.3265
456620.1935,4425400.4436,2.5552,0.3191
456620.0832,4425400.5136,2.5962,0.3092
456619.9692,4425400.5797,2.6362,0.2974
456619.8515,4425400.6419,2.6749,0.2838
456619.7301,4425400.7002,2.7121,0.2690
456619.6050,4425400.7548,2.7478,0.2533
456619.4761,4425400.8058,2.7818,0.2371
456619.3434,4425400.8532,2.8140,0.2206
456619.2070,4425400.8972,2.8445,0.2042
456619.0668,4425400.9379,2.8731,0.1881
456618.9227,4425400.9755,2.8999,0.1724
456618.7749,4425401.0099,2.9250,0.1574
456618.6232,4425401.0414,2.9482,0.1431
456618.4678,4425401.0701,2.9698,0.1296
456618.3085,4425401.0961,2.9896,0.1168
456618.1454,4425401.1195,3.0079,0.1052
456617.9785,4425401.1405,3.0247,0.0944
456617.8078,4425401.1592,3.0400,0.0845
456617.6333,4425401.1757,3.0540,0.0755
456617.4550,4425401.1902,3.0668,0.0672
456617.2729,4425401.2028,3.0783,0.0596
456617.0870,4425401.2136,3.0888,0.0528
456616.8973,4425401.2227,3.0982,0.0466
456616.7038,4425401.2302,3.1067,0.0410
456616.5066,4425401.2364,3.1143,0.0360
456616.3055,4425401.2412,3.1210,0.0315
456615.6498,4425401.2948,3.1098,0.0231
456615.5456,4425401.2961,3.1125,0.0213
456614.9113,4425401.3583,3.0980,0.0195
456614.6275,4425401.3699,3.1037,0.0205
456614.3474,4425401.3797,3.1096,0.0215
456614.0711,4425401.3877,3.1157,0.0226
456613.7985,4425401.3939,3.1220,0.0237
456613.5298,4425401.3983,3.1285,0.0250
456613.2648,4425401.4009,3.1353,0.0263
456613.0037,4425401.4016,-3.1408,0.0277
456612.7464,4425401.4005,-3.1335,0.0293
456612.4930,4425401.3974,-3.1259,0.0309
456612.2434,4425401.3925,-3.1179,0.0327
456611.9977,4425401.3857,-3.1097,0.0345
456611.7559,4425401.3770,-3.1011,0.0366
456611.5181,4425401.3663,-3.0921,0.0387
456611.2841,4425401.3536,-3.0828,0.0410
456611.0542,4425401.3390,-3.0730,0.0435
456610.8282,4425401.3223,-3.0629,0.0462
456610.6062,4425401.3036,-3.0523,0.0491
456610.3882,4425401.2829,-3.0412,0.0522
456610.1743,4425401.2601,-3.0296,0.0555
456609.9644,4425401.2352,-3.0175,0.0591
456609.7587,4425401.2083,-3.0049,0.0629
456609.5570,4425401.1792,-2.9916,0.0670
456609.3594,4425401.1479,-2.9778,0.0715
456609.1660,4425401.1145,-2.9633,0.0762
456608.9768,4425401.0790,-2.9481,0.0814
456608.7917,4425401.0412,-2.9323,0.0869
456608.6109,4425401.0012,-2.9156,0.0928
456608.4343,4425400.9590,-2.8982,0.0991
456608.2619,4425400.9146,-2.8800,0.1059
456608.0939,4425400.8679,-2.8609,0.1133
456607.9301,4425400.8189,-2.8409,0.1211
456607.7707,4425400.7676,-2.8199,0.1294
456607.6156,4425400.7141,-2.7979,0.1384
456607.4648,4425400.6582,-2.7749,0.1479
456607.3185,4425400.6000,-2.7509,0.1579
456607.1765,4425400.5394,-2.7257,0.1686
456607.0390,4425400.4765,-2.6993,0.1799
456606.9059,4425400.4112,-2.6718,0.1917
456606.7772,4425400.3436,-2.6430,0.2041
456606.6531,4425400.2736,-2.6131,0.2169
456606.5334,4425400.2012,-2.5818,0.2302
456606.4183,4425400.1265,-2.5493,0.2439
456606.3077,4425400.0493,-2.5154,0.2577
456606.2017,4425399.9698,-2.4804,0.2716
456606.1002,4425399.8879,-2.4440,0.2855
456606.0033,4425399.8035,-2.4065,0.2990
456605.9110,4425399.7168,-2.3678,0.3120
456605.8233,4425399.6276,-2.3280,0.3243
456605.8930,4425399.6195,-2.2136,0.4204
456606.0346,4425399.6576,-2.1071,0.4095
456605.9915,4425399.5823,-2.0732,0.3715
456605.9497,4425399.5032,-2.0416,0.3369
456605.9091,4425399.4203,-2.0120,0.3054
456605.8697,4425399.3337,-1.9843,0.2769
456605.8315,4425399.2434,-1.9584,0.2511
456605.7944,4425399.1493,-1.9342,0.2278
456605.7585,4425399.0515,-1.9116,0.2069
456605.7237,4425398.9500,-1.8904,0.1881
456605.6900,4425398.8448,-1.8706,0.1711
456605.6575,4425398.7359,-1.8521,0.1558
456605.6261,4425398.6233,-1.8347,0.1421
456605.5957,4425398.5072,-1.8184,0.1297
456605.5664,4425398.3874,-1.8031,0.1185
456605.5382,4425398.2639,-1.7887,0.1085
456605.5110,4425398.1369,-1.7752,0.0993
456605.4848,4425398.0063,-1.7626,0.0911
456605.4595,4425397.8722,-1.7506,0.0836
456605.4353,4425397.7345,-1.7394,0.0769
456605.4121,4425397.5933,-1.7289,0.0707
456605.3897,4425397.4485,-1.7189,0.0651
456605.3683,4425397.3003,-1.7096,0.0601
456605.3478,4425397.1486,-1.7007,0.0554
456605.3282,4425396.9935,-1.6924,0.0512
456605.3095,4425396.8349,-1.6845,0.0473
456605.2916,4425396.6729,-1.6771,0.0438
456605.2745,4425396.5075,-1.6701,0.0405
456605.2583,4425396.3388,-1.6635,0.0376
456605.2428,4425396.1666,-1.6573,0.0348
456605.2282,4425395.9912,-1.6513,0.0323
456605.2142,4425395.8124,-1.6458,0.0300
456605.2010,4425395.6303,-1.6405,0.0279
456605.1886,4425395.4449,-1.6355,0.0259
456605.1768,4425395.2563,-1.6307,0.0241
456605.1657,4425395.0644,-1.6263,0.0225
456605.1553,4425394.8692,-1.6220,0.0209
456605.1456,4425394.6709,-1.6180,0.0195
456605.1364,4425394.4693,-1.6142,0.0182
456605.1279,4425394.2646,-1.6106,0.0170
456605.1200,4425394.0567,-1.6072,0.0159
456605.1126,4425393.8457,-1.6039,0.0148
456605.1059,4425393.6315,-1.6009,0.0139
456605.0997,4425393.4142,-1.5979,0.0130
456605.0940,4425393.1938,-1.5952,0.0122
456605.0888,4425392.9703,-1.5925,0.0114
456605.0842,4425392.7437,-1.5900,0.0107
456605.0801,4425392.5140,-1.5876,0.0101
456605.0764,4425392.2813,-1.5854,0.0095
456605.0706,4425392.1043,-1.5871,0.0082
456605.0692,4425391.9849,-1.5861,0.0079
456605.0638,4425391.9525,-1.5895,0.0073
456605.0601,4425391.7419,-1.5880,0.0072
456605.0566,4425391.5313,-1.5865,0.0071
456605.0535,4425391.3207,-1.5850,0.0069
456605.0506,4425391.1100,-1.5835,0.0068
456605.0481,4425390.8993,-1.5821,0.0067
456605.0458,4425390.6886,-1.5807,0.0065
456605.0439,4425390.4778,-1.5794,0.0064
456605.0422,4425390.2670,-1.5780,0.0062
456605.0408,4425390.0561,-1.5768,0.0060
456605.0397,4425389.8452,-1.5755,0.0059
456605.0388,4425389.6343,-1.5743,0.0057
456605.0382,4425389.4233,-1.5731,0.0055
456605.0379,4425389.2123,-1.5720,0.0053
456605.0377,4425389.0012,-1.5709,0.0051
456605.0378,4425388.7901,-1.5698,0.0049
456605.0381,4425388.5790,-1.5688,0.0047
456605.0387,4425388.3678,-1.5678,0.0045
456605.0394,4425388.1566,-1.5669,0.0043
456605.0403,4425387.9454,-1.5660,0.0041
456605.0414,4425387.7341,-1.5652,0.0039
456605.0427,4425387.5228,-1.5644,0.0037
456605.0441,4425387.3114,-1.5636,0.0035
456605.0457,4425387.1001,-1.5629,0.0032
456605.0475,4425386.8886,-1.5622,0.0030
456605.0493,4425386.6772,-1.5616,0.0028
456605.0513,4425386.4657,-1.5611,0.0026
456605.0535,4425386.2541,-1.5605,0.0024
456605.0557,4425386.0425,-1.5601,0.0022
456605.0580,4425385.8309,-1.5596,0.0019
456605.0604,4425385.6193,-1.5592,0.0017
456605.0629,4425385.4076,-1.5589,0.0015
456605.0654,4425385.1959,-1.5586,0.0013
456605.0680,4425384.9841,-1.5583,0.0011
456605.0707,4425384.7724,-1.5581,0.0009
456605.0734,4425384.5605,-1.5580,0.0007
456605.0761,4425384.3487,-1.5578,0.0005
456605.0789,4425384.1368,-1.5577,0.0003
456605.0817,4425383.9249,-1.5577,0.0001
456605.0844,4425383.7129,-1.5577,-0.0001
456605.0872,4425383.5009,-1.5577,-0.0002
456605.0900,4425383.2889,-1.5578,-0.0004
456605.0927,4425383.0768,-1.5579,-0.0006
456605.0954,4425382.8647,-1.5581,-0.0008
456605.0981,4425382.6526,-1.5582,-0.0009
456605.1008,4425382.4404,-1.5584,-0.0011
456605.1034,4425382.2282,-1.5587,-0.0012
456605.1059,4425382.0160,-1.5590,-0.0013
456605.1084,4425381.8037,-1.5593,-0.0015
456605.1100,4425381.6267,-1.5597,-0.0014
456605.1112,4425381.5205,-1.5598,-0.0014
456605.1114,4425381.4585,-1.5600,-0.0011
456605.1136,4425381.2552,-1.5602,-0.0011
456605.1158,4425381.0518,-1.5604,-0.0011
456605.1178,4425380.8484,-1.5607,-0.0011
456605.1199,4425380.6450,-1.5609,-0.0011
456605.1219,4425380.4416,-1.5611,-0.0011
456605.1238,4425380.2383,-1.5613,-0.0010
456605.1257,4425380.0349,-1.5615,-0.0010
456605.1276,4425379.8315,-1.5617,-0.0010
456605.1294,4425379.6281,-1.5619,-0.0010
456605.1312,4425379.4247,-1.5621,-0.0009
456605.1330,4425379.2213,-1.5623,-0.0009
456605.1347,4425379.0179,-1.5625,-0.0009
456605.1363,4425378.8145,-1.5627,-0.0009
456605.1380,4425378.6111,-1.5628,-0.0008
456605.1396,4425378.4078,-1.5630,-0.0008
