ref_x,ref_y,ref_theta,ref_curve
456588.5469,4425371.4139,1.5814,-0.0001
456588.5459,4425371.5188,1.5814,-0.0001
456588.5448,4425371.6253,1.5814,-0.0001
456588.5427,4425371.8247,1.5814,-0.0001
456588.5406,4425372.0241,1.5814,-0.0001
456588.5385,4425372.2236,1.5814,-0.0001
456588.5364,4425372.4230,1.5813,-0.0001
456588.5343,4425372.6224,1.5813,-0.0001
456588.5322,4425372.8218,1.5813,-0.0001
456588.5301,4425373.0212,1.5813,-0.0001
456588.5280,4425373.2207,1.5813,-0.0001
456588.5259,4425373.4201,1.5813,-0.0001
456588.5238,4425373.6195,1.5813,-0.0001
456588.5217,4425373.8189,1.5813,-0.0001
456588.5196,4425374.0183,1.5812,-0.0001
456588.5176,4425374.2178,1.5812,-0.0001
456588.5155,4425374.4172,1.5812,-0.0001
456588.5134,4425374.6166,1.5812,-0.0001
456588.5113,4425374.8160,1.5812,-0.0001
456588.5093,4425375.0154,1.5812,-0.0001
456588.5072,4425375.2149,1.5812,-0.0000
456588.5051,4425375.4143,1.5812,-0.0000
456588.5030,4425375.6137,1.5812,-0.0000
456588.5010,4425375.8131,1.5811,-0.0000
456588.4989,4425376.0125,1.5811,-0.0000
456588.4969,4425376.2120,1.5811,-0.0000
456588.4948,4425376.4114,1.5811,-0.0000
456588.4927,4425376.6108,1.5811,-0.0000
456588.4907,4425376.8102,1.5811,-0.0000
456588.4886,4425377.0097,1.5811,-0.0000
456588.4866,4425377.2091,1.5811,-0.0000
456588.4845,4425377.4085,1.5811,-0.0000
456588.4825,4425377.6079,1.5811,-0.0000
456588.4804,4425377.8073,1.5811,-0.0000
456588.4784,4425378.0068,1.5811,-0.0000
456588.4763,4425378.2062,1.5811,-0.0000
456588.4743,4425378.4056,1.5811,-0.0000
456588.4722,4425378.6050,1.5811,-0.0000
456588.4702,4425378.8044,1.5811,-0.0000
456588.4681,4425379.0039,1.5811,-0.0000
456588.4661,4425379.2033,1.5811,-0.0000
456588.4640,4425379.4027,1.5811,-0.0000
456588.4620,4425379.6021,1.5811,-0.0000
456588.4599,4425379.8015,1.5810,-0.0000
456588.4579,4425380.0010,1.5810,-0.0000
456588.4559,4425380.2004,1.5810,-0.0000
456588.4538,4425380.3998,1.5810,-0.0000
456588.4518,4425380.5992,1.5810,-0.0000
456588.4497,4425380.7986,1.5810,0.0000
456588.4477,4425380.9981,1.5810,0.0000
456588.4456,4425381.1975,1.5810,0.0000
456588.4436,4425381.3969,1.5810,0.0000
456588.4426,4425381.4983,1.5811,0.0000
456588.4395,4425381.7999,1.5811,0.0000
456588.4374,4425381.9997,1.5811,0.0000
456588.4354,4425382.1996,1.5811,0.0000
456588.4333,4425382.3994,1.5811,0.0000
456588.4313,4425382.5992,1.5811,0.0000
456588.4292,4425382.7991,1.5811,0.0000
456588.4272,4425382.9989,1.5811,0.0000
456588.4251,4425383.1987,1.5811,0.0000
456588.4231,4425383.3986,1.5811,0.0000
456588.4210,4425383.5984,1.5811,0.0000
456588.4190,4425383.7982,1.5811,0.0000
456588.4169,4425383.9981,1.5811,0.0000
456588.4149,4425384.1979,1.5811,0.0000
456588.4128,4425384.3977,1.5811,0.0000
456588.4108,4425384.5976,1.5811,0.0000
456588.4087,4425384.7974,1.5811,0.0000
456588.4067,4425384.9972,1.5811,0.0000
456588.4046,4425385.1971,1.5811,0.0000
456588.4026,4425385.3969,1.5811,0.0000
456588.4005,4425385.5967,1.5811,0.0000
456588.3985,4425385.7966,1.5811,0.0000
456588.3964,4425385.9964,1.5811,0.0000
456588.3944,4425386.1962,1.5811,0.0000
456588.3923,4425386.3961,1.5811,0.0000
456588.3903,4425386.5959,1.5811,0.0000
456588.3882,4425386.7957,1.5811,0.0000
456588.3862,4425386.9956,1.5811,0.0000
456588.3841,4425387.1954,1.5811,0.0000
456588.3821,4425387.3952,1.5811,0.0000
456588.3800,4425387.5951,1.5811,0.0000
456588.3780,4425387.7949,1.5811,0.0000
456588.3759,4425387.9947,1.5811,0.0000
456588.3739,4425388.1946,1.5811,0.0000
456588.3718,4425388.3944,1.5811,0.0000
456588.3698,4425388.5942,1.5811,0.0000
